
API_COUNTY|API_NUMBER|SUFFIX|WELL_NAME                     |WELL_NO|  OPER_NO|OPER_SUFFIX|OPERATOR                                |ME|  SECTION|TWP|RAN|Q4|Q3|Q2|Q1| LATITUDE|LONGITUDE|OTC_COUNTY|OTC_LEASE_NO|OTC_SUB_NO|OTC_MERGE|  POOL_NO|CODE    |FORMATION                               |OFB|ALLOWABLE_CLASS|ALLOWABLE_TYPE| PURCH_NO|PURCHASER                               |PURCH_SUFFIX|OFB|     YEAR|      JAN|      OIL|      GAS|      FEB|      OIL|      GAS|      MAR|      OIL|      GAS|      APR|      OIL|      GAS|      MAY|      OIL|      GAS|      JUN|      OIL|      GAS|      JUL|      OIL|      GAS|      AUG|      OIL|      GAS|      SEP|      OIL|      GAS|      OCT|      OIL|      GAS|      NOV|      OIL|      GAS|      DEC|      OIL|      GAS     
----------|----------|------|------------------------------|-------|---------|-----------|----------------------------------------|--|---------|---|---|--|--|--|--|---------|---------|----------|------------|----------|---------|---------|--------|----------------------------------------|---|---------------|--------------|---------|----------------------------------------|------------|---|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------     
         3|     20404|      |SMITH                         | 1     |    17441|          0|CHESAPEAKE OPERATING INC                |IM|       19|24N|12W|  |  |NW|SE| 36.54099|-98.52307|         3|       48518|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |     6332|MID PLAINS PETROLEUM COMPANY            |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |         |       10|         |         |       11|      177|         |       12|      162|              
         7|        25|      |E E EVANS                     | 1     |     5415|          0|SAMSON RESOURCES COMPANY                |CM|        8|05N|25E|  |  |NE|SW|36.912313|-100.3791|         7|       28830|         0|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |S             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |    15271|       10|         |      182|       11|         |     8388|       12|         |    10850     
         7|        60|      |MAY DIXON                     | 2     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       29|05N|26E|  |NE|NE|SW|36.869634|-100.2696|         7|       24242|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |S             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |     4747|       10|         |       15|       11|         |     3246|       12|         |     2996     
         7|        62|      |F BARBY                       | 2     |    14417|          0|CLOWER JIM INC                          |CM|       31|05N|26E|  |  |NE|SW|36.854247|-100.2888|         7|       28826|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |     4751|        9|         |     2953|       10|         |     3348|       11|         |     2919|       12|         |     2985     
         7|       104|      |R E ADAMS                     | 8     |     2057|          0|SPESS OIL COMPANY, INC.                 |CM|       23|06N|24E|  |  |SE|NW|36.973946|-100.4333|         7|       28823|         0|        0|         |402MRRW |MORROW                                  |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |         |        9|         |      772|       10|         |     2985|       11|         |     2128|       12|         |     1345     
         7|       106|      |BARBY RANCH                   | 1-4   |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|       14|03N|25E|  |  |NW|SE|36.723175|-100.3326|         7|       19915|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |    23794|        9|         |    20636|       10|         |    20710|       11|         |    18611|       12|         |    18565     
         7|       114|      |FICKEL    B                   | 1     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       17|03N|25E|  |NE|NE|SW| 36.72411|  -100.39|         7|       13008|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |     1244|        7|         |     3516|        8|         |     3145|        9|         |     2755|       10|         |     2475|       11|         |     2561|       12|         |     1727     
         7|       114|      |FICKEL    B                   | 1     |    21292|          0|ONEOK ENERGY RESOURCES COMPANY          |CM|       17|03N|25E|  |NE|NE|SW| 36.72411|  -100.39|         7|       13008|         1|        0|         |999TWCR |TONKAWA-CHESTER                         |N  |UG             |I             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |     6354|        8|         |     6466|        9|         |     5126|       10|         |         |       11|         |      969|       12|         |     5046     
         7|       167|      |LLOYD BARBY                   | 2     |     5415|          0|SAMSON RESOURCES COMPANY                |CM|       11|04N|25E|  |  |SW|NE|36.828311|-100.3326|         7|       28828|         0|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |R             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     2964|        5|         |     3111|        6|         |         |        7|         |         |        8|         |         |        9|         |    11051|       10|         |     2209|       11|         |    12618|       12|         |     9294     
         7|       167|      |LLOYD BARBY                   | 2     |     5415|          0|SAMSON RESOURCES COMPANY                |CM|       11|04N|25E|  |  |SW|NE|36.828311|-100.3326|         7|       28828|         0|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |R             |     9078|PRAIRIE STATES GAS COMPANY              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |     2389|        7|         |     6150|        8|         |    13879|        9|         |     8387|       10|         |     8379|       11|         |     7898|       12|         |     9369     
         7|       177|      |J R WOODSON                   | 2     |     6778|          0|APACHE CORPORATION                      |CM|       18|02N|27E|  |SW|SW|NE|36.638689|-100.1895|         7|       25021|         0|        0|         |406TNKW |TONKAWA             /SAND/              |N  |UG             |I             |     1459|ANR PIPELINE CO                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |      626|        5|         |      638|        6|         |      494|        7|         |      524|        8|         |      569|        9|         |      286|       10|         |         |       11|         |      480|       12|         |      553     
         7|       179|      |SIZELOVE                      | 2     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|       34|04N|27E|  |SE|NW|SE|36.765458|-100.1332|         7|       19884|         0|        0|         |406HOVR |HOOVER              /SAND/              |N  |UG             |I             |     1578|INTERNORTH INC.                         |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |     1814|        5|         |     3592|        6|         |     2391|        7|         |     2053|        8|         |      964|        9|         |     2208|       10|         |     2552|       11|         |     2185|       12|         |     2791     
         7|       186|      |BARBY (BARBY UNIT#1)          | 1-6   |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        6|03N|28E|  |  |NW|SE| 36.75172|-100.0803|         7|       30066|         0|        0|         |406HOVR |HOOVER              /SAND/              |N  |UG             |I             |      688|EL PASO NATURAL GAS CO                  |           1|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |        5|        5|         |      146|        6|         |      476|        7|         |         |        8|         |         |        9|         |         |       10|         |       27|       11|         |      781|       12|         |     1387     
         7|       187|      |OVERTON, WJ                   | 1     |     5415|          0|SAMSON RESOURCES COMPANY                |CM|        6|03N|26E|  |  |SW|NE|36.755771|-100.2965|         7|       20903|         0|        0|         |000UNKN |UNKNOWN FORMATION                       |Y  |               |              |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |      459|        8|         |      523|        9|         |     9317|       10|         |     6901|       11|         |     8773|       12|         |     2702     
         7|       188|      |JUDY                          | 1     |    18246|          0|CABOT OIL & GAS CORPORATION             |CM|        1|05N|24E|  |  |NE|SW|36.926819|-100.4152|         7|       19874|         1|        0|         |402MWCR |MORROW-CHESTER                          |N  |UG             |S             |      458|COLORADO INTERSTATE GAS CO              |           0|N  |     1987|        1|         |         |        2|         |         |        3|         |         |        4|         |         |        5|         |         |        6|         |         |        7|         |         |        8|         |    17814|        9|         |    13370|       10|         |    12526|       11|         |    11580|       12|         |    10469     
